COWCODE,STATE,REG_START,REG_END,REG_PARTY,REG_REINST,ELITE_NAME,ELITE_PARTY,ELITE_BIRTHDATE,ELITE_DEATHDATE,ELITE_FEMALE,ELITE_REENTER,ELITE_REEXIT,ELITE_ENTERAGE,ELITE_EXITAGE,ELITE_RETENURE,ELITE_EXITTYPE,ELITE_EXITFATE,ELITE_EXITLEADER,ELITE_REPOSITION,ELITE_OCCUPATION,EC_GR_2Y
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Backe, Herbert",NSDAP,5/1/1896,6/4/1947,0,2/5/1942,23/5/1945,46.03013699,49.09041096,3.060273973,Regime Change,,,Food and Agriculture (5/23/42-5/23/45),Tenant farmer,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Blomberg, Werner von",Independent,9/2/1878,14/3/1946,0,30/1/1933,4/2/1938,54.44657534,59.4630137,5.016438356,Resignation,No Punishment,Hitler,War (1/30/33-2/5/38),Soldier,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Bormann, Martin",NSDAP,17/6/1900,2/5/1945,0,12/5/1941,2/5/1945,40.92876712,44.90410959,3.975342466,Death - combat,,Donitz,Chief of Nazi Party Chancellery (5/12/41-5/2/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Darré, Richard Walther",NSDAP,7/14/1895,5/9/1953,0,29/6/1933,23/5/1942,37.98356164,46.88767123,8.904109589,Regime Change,,,Food and Agriculture (6/29/33-5/23/42),Agronomist,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Dönitz, Karl",NSDAP,9/16/1891,24/12/1980,0,30/4/1945,23/5/1945,53.65479452,53.71780822,0.06301369863,Regime Change,,,Reichsprasident (4/30/45-5/23/45); War (4/30/45-5/23/45); Supreme Commander of the Navy (4/30/45-5/2/45),Soldier,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Dorpmüller, Julius Heinrich",NSDAP,7/24/1869,5/7/1945,0,2/2/1937,23/5/1945,67.57260274,75.87945205,8.306849315,Regime Change,,,Transport (2/2/37-5/23/45); Postal Affairs (5/2/45-5/23/45),Railway engineer,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Eltz-Rübenach, Paul Freiherr von",Independent,2/9/1875,25/8/1943,0,30/1/1933,2/2/1937,58.0109589,62.02191781,4.010958904,Resignation,No Punishment,Hitler,Postal Affairs (1/30/33-2/2/37); Transport (1/30/33-2/2/37),Architect,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Frank, Hans",NSDAP,23/5/1900,16/10/1946,0,19/12/1934,30/4/1945,34.59726027,44.96712329,10.36986301,Demotion,No Punishment,Goebbels,w/o Portfolio (12/19/34-4/30/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Frank, Karl-Hermann",NSDAP,1/24/1898,22/5/1946,0,20/8/1942,30/4/1945,44.59726027,47.29315068,2.695890411,Demotion,No Punishment,Goebbels,Bohemia and Moravia (8/30/42-4/30/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Frick, Wilhelm",NSDAP,3/12/1877,16/10/1946,0,30/1/1933,30/4/1945,55.92328767,68.17808219,12.25479452,Demotion,No Punishment,Goebbels,Interior (1/30/33-8/24/43); Reich Protector (8/34/43-4/30/45),Police administrator,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Funk, Walther",NSDAP,8/18/1890,31/5/1960,0,5/2/1938,2/5/1945,47.49863014,54.73972603,7.24109589,Demotion,No Punishment,Donitz,Economics (2/5/38-5/2/45),Financial journalist,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Giesler, Paul",NSDAP,6/15/1895,8/5/1945,0,30/4/1945,2/5/1945,49.90684932,49.91232877,0.005479452055,Demotion,No Punishment,Donitz,Interior (4/30/45-5/2/45),Architect,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Goebbels, Joseph",NSDAP,10/29/1897,1/5/1945,0,13/3/1933,1/5/1945,35.39178082,47.53424658,12.14246575,Death - suicide,,Goebbels,Public Enlightenment and Propaganda (3/13/33-4/30/45); Chancellor (4/30/45-5/1/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Göring, Hermann",NSDAP,1/12/1893,15/10/1946,0,30/1/1933,23/4/1945,40.0739726,52.30958904,12.23561644,Expulsion,No Punishment,Hitler,Vice-Chancellor (2/10/41-4/23/45); Economics (11/26/37-1/15/38); Aviation (4/27/33-4/23/45); w/o Portfolio (1/30/33-4/27/33),Soldier,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Greim, Robert Ritter von",NSDAP,6/22/1892,24/5/1945,0,30/4/1945,8/5/1945,52.88767123,52.90958904,0.02191780822,Demotion,No Punishment,Donitz,Supreme Commander of the Air Force (4/30/45-5/8/45),Soldier,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Gürtner, Franz",NSDAP,8/26/1881,29/1/1941,0,30/1/1933,29/1/1941,51.4630137,59.46575342,8.002739726,Death - natural,,Hitler,Justice (1/30/33-1/29/41),Jurist,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Hanke, Karl",NSDAP,24/8/1903,8/6/1945,0,30/4/1945,8/5/1945,41.71232877,41.73424658,0.02191780822,Demotion,No Punishment,Donitz,Reichsfuhrer-SS (4/30/45-5/8/45),Miller,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Hess, Rudolf",NSDAP,4/26/1894,17/8/1987,0,1/12/1933,10/5/1941,39.62465753,47.06849315,7.443835616,Expulsion,No Punishment,Hitler,Deputy Fuhrer (12/1/33-5/10/41),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Hierl, Konstantin",NSDAP,2/24/1875,23/9/1955,0,24/8/1943,30/4/1945,68.53972603,70.22465753,1.684931507,Demotion,No Punishment,Goebbels,Chief of Reich Labour Service (8/34/43-4/30/45),Soldier,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Himmler, Heinrich",NSDAP,7/10/1900,23/5/1945,0,24/8/1943,29/4/1945,42.90684932,44.5890411,1.682191781,Expulsion,No Punishment,Hitler,Interior (8/24/43-4/29/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Hitler, Adolf",NSDAP,4/20/1889,30/4/1945,0,30/1/1933,30/4/1945,43.80821918,56.0630137,12.25479452,Death - suicide,,Hitler,Chancellor (1/30/33-4/30/45),Party funtionary,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Hugenberg, Alfred",DNVP,6/19/1865,12/3/1951,0,30/1/1933,29/6/1933,67.66027397,68.07123288,0.4109589041,Resignation,No Punishment,Hitler,Economics (1/30/33-6/29/33); Food and Agriculture (1/30/33-6/29/33),Businessperson,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Hupfauer, Theo",NSDAP,17/7/1906,31/8/1993,0,30/4/1945,2/5/1945,38.81369863,38.81917808,0.005479452055,Demotion,No Punishment,Donitz,Labour (4/30/45-5/2/45),Jurist,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Keitel, Wilhelm",Independent,9/22/1882,16/10/1946,0,5/2/1938,8/5/1945,55.40821918,62.66575342,7.257534247,Demotion,No Punishment,Donitz,War (2/5/38-4/30/45),Soldier,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Kerrl, Hanns",NSDAP,12/11/1887,15/12/1941,0,16/4/1934,15/12/1941,46.37534247,54.04657534,7.671232877,Death- natural,,Hitler,Church Affairs (7/16/35-12/15/41); w/o Portfolio (4/16/34-7/16/35),Civil servant,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Lammers, Hans",NSDAP,5/27/1879,4/1/1962,0,1/12/1937,30/4/1945,58.55342466,65.96986301,7.416438356,Expulsion,No Punishment,Goebbels,Chief of Reich Chancellery (12/1/37-4/30/45),Civil servant,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Ley, Robert",NSDAP,2/15/1890,25/10/1945,0,30/4/1945,23/5/1945,55.23835616,55.30136986,0.06301369863,Regime Change,,,Chief of Reich Labour Service (4/30/45-5/2/45),Private-sector chemist,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Meissner, Otto",NSDAP,3/13/1880,27/5/1953,0,1/12/1937,30/4/1945,57.75616438,65.17260274,7.416438356,Demotion,No Punishment,Goebbels,Chief of Presidential Chancellery (12/1/37-4/30/45),Civil servant,-13.36
255,Germany,30/1/1933,23/5/1945,National Socialist German Workers Party (NSDAP),Cabinet,"Muhs, Hermann",NSDAP,5/16/1894,13/4/1962,0,15/12/1941,30/4/1945,47.61369863,50.9890411,3.375342466,Demotion,No Punishment,Goebbels,Church Affairs (12/15/41-4/30/45),Jurist,-13.36
